"Name","Location","NPC","TID","ButtonTID","FinishRequirement","WaitTimeMS","FileName","PopupCorner","PopupExportName","BubbleExportName","Sound","Darkening","BubbleObject","OverlayExportName","SpellDragExportName","SpellToCast","TutorialSpell","SpellTileX","SpellTileY","DisableSpells","HideCombatUI","DisableTroopMovement","DisableLeaderMovement","DisableSpawnPoints","DisableOpponentSpells","PauseCombat","Dependency","Priority","Taunt","HighlightTargetsOnManaFull","DisableBattleStartScreen","NpcMatchesPlayed","DisableBattleMenu"
"String","String","String","String","String","String","int","String","int","String","String","String","boolean","String","String","String","String","String","int","int","boolean","boolean","boolean","boolean","boolean","boolean","boolean","String","int","String","boolean","boolean","int","boolean"
"NPC1_Start_Delay","FirstMatch","Npc1",,,,3000,,,,,,,,,,,,,,,"TRUE",,,,"TRUE",,,,,,"true",,
"NPC1_King_Speaks","FirstMatch","Npc1","TID_TUTORIAL_KING_WELCOME",,,,"sc/tutorial.sc",4,"tutorial_character1_left","bubble_tutorial_anim","sound_tutorial_first_vo",,,,,,,,,,"TRUE",,,,"TRUE",,,,,,"true",,
,,,"TID_TUTORIAL_KING_WELCOME2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NPC1_Start_Taunt","FirstMatch","Npc1",,,,2000,,,,,,,,,,,,,,,"TRUE",,,,"TRUE",,"NPC1_King_Speaks",,,,,,
"NPC1_Attack_HighlightArea","FirstMatch","Npc1","TID_TUTORIAL_ENEMY_AREA",,,1000,,,,,"sound_tutorial_first_plink",,,,,,,,,,"TRUE",,,,"TRUE",,,,,,,,
"NPC1_Attack_HighlightUnits","FirstMatch","Npc1",,,,3000,,,,,"sound_tutorial_second_plink",,,,,,,,,,"TRUE",,,,"TRUE",,,,,,,,
"NPC1_Attack_ShowSpells","FirstMatch","Npc1",,,,3000,,,,,"sound_tutorial_second_vo",,,,,,,,,,,,,,"TRUE",,,,,,,,
"NPC1_Attack_DragSpell","FirstMatch","Npc1",,,"CastSpell",,,,,,,,,,"Tutorial_Hand1","Knight",,10,38,,,,,,"TRUE",,,,"NPC1_Deploy",,,,
"NPC1_Attack_DragSpell2","FirstMatch","Npc1",,,"CastSpell",,,,,,,,,,"Tutorial_Hand1","Archer",,10,38,,,,,,"TRUE",,,,,,,,
"NPC1_Attack_Tower","FirstMatch","Npc1",,,"StarGained",,,,,,,,,,,,,,,,,,,,"TRUE",,,,,,,,
"NPC1_Defend_Delay","FirstMatch","Npc1",,,,5000,,,,,,,,,,,,,,,,,,,"TRUE",,,,,,,,
"NPC1_Defend_EnemyDeploy","FirstMatch","Npc1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NPC1_Defend2_Delay","FirstMatch","Npc1",,,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NPC1_Attack_Last","FirstMatch","Npc1",,,,120000,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",,,
"NPC2_Mana_Popup_Delay","FirstMatch","Npc2",,,,1200,,,,,,,,,,,,,,"TRUE",,,,,"TRUE","TRUE",,,,,"true",,
"NPC2_Mana_Popup","FirstMatch","Npc2",,,"PressOK",,"sc/ui.sc",,"popup_elixir_tip",,,"true",,,,,,,,"TRUE",,,,,,"TRUE","NPC2_Mana_Popup_Delay",,,,"true",,
"NPC3_start","TrainingCamp","Npc3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NPC4_start","TrainingCamp","Npc4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NPC5_start","TrainingCamp","Npc5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NPC6_start","TrainingCamp","Npc6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NPC7_start","TrainingCamp","Npc7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
