Name,Dummy
String,String
_AU,
_NA,
_AF,
_INT,
_SA,
_EU,
_AS,
AL,
DZ,
AF,
AR,
AE,
AW,
OM,
AZ,
AC,
EG,
ET,
IE,
EE,
AD,
AO,
AI,
AG,
AT,
AX,
AU,
MO,
BB,
PG,
BS,
PK,
PY,
PS,
BH,
PA,
BR,
BY,
BM,
BG,
MP,
BJ,
BE,
IS,
PR,
PL,
BA,
BO,
BZ,
BW,
BT,
BF,
BI,
BV,
KP,
GQ,
DK,
DE,
DG,
TL,
TG,
DM,
DO,
RU,
EC,
ER,
FR,
FO,
PF,
GF,
TF,
VA,
PH,
FJ,
FI,
CV,
FK,
GM,
CD,
CG,
CO,
CR,
GD,
GL,
GE,
GG,
CU,
GP,
GU,
GY,
KZ,
HT,
KR,
NL,
BQ,
SX,
HM,
ME,
HN,
KI,
DJ,
KG,
GN,
GW,
CA,
IC,
GH,
GA,
KH,
CZ,
ZW,
CM,
QA,
KY,
CC,
KM,
XK,
CI,
KW,
HR,
KE,
CK,
CW,
LV,
LS,
LA,
LB,
LT,
LR,
LY,
LI,
RE,
LU,
RW,
RO,
MG,
MV,
MT,
MW,
MY,
ML,
MK,
MH,
MQ,
YT,
MU,
MR,
US,
UM,
AS,
VI,
MN,
MS,
BD,
PE,
FM,
MM,
MD,
MA,
MC,
MZ,
MX,
NA,
ZA,
AQ,
SS,
NR,
NP,
NI,
NE,
NG,
NU,
NO,
NF,
PW,
PN,
PT,
JP,
SE,
CH,
SV,
WS,
RS,
SL,
SN,
CY,
SC,
SA,
BL,
CX,
ST,
SH,
KN,
LC,
MF,
SM,
PM,
VC,
LK,
SK,
SI,
SJ,
SZ,
SD,
SR,
SB,
SO,
TJ,
TW,
TH,
TZ,
TO,
TC,
TA,
TT,
TN,
TV,
TR,
TM,
TK,
WF,
VU,
GT,
VE,
BN,
UG,
UA,
UY,
UZ,
ES,
EH,
GR,
HK,
SG,
NC,
NZ,
HU,
EA,
SY,
JM,
AM,
YE,
IQ,
IR,
IL,
IT,
IN,
ID,
GB,
IM,
VG,
IO,
JO,
VN,
ZM,
JE,
TD,
GI,
CL,
CF,
CN,
