"Name",0
"String","boolean"
"Lauri Ahlgren",
"Richard Bangs",
"Jerry Chi",
"John Cipriani",
"Patrick Corander",
"Sean Cornejo",
"Niko Derome",
"Jonathan Dower",
"Stefan Engblom",
"Visa Forsten",
"Tommi Hakala",
"David Hart",
"Hrvoje Horbec",
"Chih-Han Hsu",
"Janne Juhola",
"Rene Kivioja",
"Rauli Laatikainen",
"Brice Laville Saint-Martin",
"Lassi Leppinen",
"Jani Lintunen",
"Taneli Oksama",
"Martin Schjøler",
"Jarno Seppänen",
"Timothy Smith",
"Petri Styrman",
"Antti Summala",
"Yusuke Taniura",
"Ewan Thonger",
"Wilhelm Tigerstedt",
"Tibor Toth",
"Jouni Utriainen",
"Tuomas Volotinen",
"Kustaa Vuori",
"-",
"Mikko Hokkanen",
"Daniel Iosca",
"Kim Jensen",
"Mikko Lehtonen",
"Lasse Louhento",
"Antti Mattila",
"Douglas Portugal",
"Asko Puurula",
