"Name","QuestType","QuestCount","DailyQuestPoints","RewardType","RewardCount","RewardAmountSmall","RewardAmountLarge","QuestPointsSmall","QuestPointsLarge","RewardAmountDaily"
"string","string","int","int","string","int","int","int","int","int","int"
"Quests_TrainingCamp","Win",3,5,"Gold",6,120,240,20,20,80
,"Attack",0,,"Gems",2,10,20,20,20,5
,"Cast",9,,"Common",4,10,20,20,20,5
,"Collect",3,,"Rare",3,5,10,20,20,1
,"Donate",0,,"Epic",0,1,2,20,20,1
"Quests_Arena1","Win",3,5,"Gold",6,120,240,20,20,80
,"Attack",0,,"Gems",2,10,20,20,20,5
,"Cast",9,,"Common",4,10,20,20,20,5
,"Collect",3,,"Rare",3,5,10,20,20,1
,"Donate",0,,"Epic",0,1,2,20,20,1
"Quests_Arena2","Win",4,5,"Gold",6,150,300,20,20,100
,"Attack",0,,"Gems",2,10,20,20,20,5
,"Cast",7,,"Common",4,14,28,20,20,7
,"Collect",3,,"Rare",3,6,12,20,20,2
,"Donate",1,,"Epic",0,1,2,20,20,1
"Quests_Arena3","Win",4,5,"Gold",6,180,360,20,20,120
,"Attack",0,,"Gems",2,10,20,20,20,5
,"Cast",6,,"Common",3,18,36,20,20,9
,"Collect",3,,"Rare",3,6,12,20,20,2
,"Donate",2,,"Epic",1,1,2,20,20,1
"Quests_Arena4","Win",4,5,"Gold",6,210,420,20,20,140
,"Attack",0,,"Gems",2,10,20,20,20,5
,"Cast",6,,"Common",3,22,44,20,20,11
,"Collect",3,,"Rare",3,7,14,20,20,2
,"Donate",2,,"Epic",1,1,2,20,20,1
"Quests_Arena5","Win",5,5,"Gold",6,240,480,20,20,160
,"Attack",0,,"Gems",2,10,20,20,20,5
,"Cast",7,,"Common",3,26,52,20,20,13
,"Collect",2,,"Rare",3,7,14,20,20,3
,"Donate",1,,"Epic",1,1,2,20,20,1
"Quests_Arena6","Win",5,5,"Gold",6,270,540,20,20,180
,"Attack",0,,"Gems",2,10,20,20,20,5
,"Cast",7,,"Common",3,30,60,20,20,15
,"Collect",2,,"Rare",3,8,16,20,20,3
,"Donate",1,,"Epic",1,1,2,20,20,1
"Quests_Arena7","Win",5,5,"Gold",5,300,600,20,20,200
,"Attack",0,,"Gems",2,10,20,20,20,5
,"Cast",7,,"Common",3,34,68,20,20,17
,"Collect",2,,"Rare",3,8,16,20,20,3
,"Donate",1,,"Epic",2,1,2,20,20,1
"Quests_Arena8","Win",4,5,"Gold",5,330,660,20,20,220
,"Attack",0,,"Gems",2,10,20,20,20,5
,"Cast",8,,"Common",3,38,76,20,20,19
,"Collect",2,,"Rare",3,9,18,20,20,4
,"Donate",1,,"Epic",2,1,2,20,20,1
"Quests_Arena9","Win",4,5,"Gold",5,360,720,20,20,240
,"Attack",0,,"Gems",2,10,20,20,20,5
,"Cast",8,,"Common",3,42,84,20,20,21
,"Collect",2,,"Rare",3,9,18,20,20,4
,"Donate",1,,"Epic",2,1,2,20,20,1
"Quests_Arena_L","Win",4,5,"Gold",5,390,780,20,20,260
,"Attack",0,,"Gems",2,10,20,20,20,5
,"Cast",8,,"Common",3,46,92,20,20,23
,"Collect",2,,"Rare",3,10,20,20,20,5
,"Donate",1,,"Epic",2,1,2,20,20,1
"Quests_Arena_Electric","Win",4,5,"Gold",5,420,840,20,20,280
,"Attack",0,,"Gems",2,10,20,20,20,5
,"Cast",8,,"Common",3,48,96,20,20,24
,"Collect",2,,"Rare",3,10,20,20,20,5
,"Donate",1,,"Epic",2,1,2,20,20,1
"Quests_Arena_T","Win",4,5,"Gold",5,450,900,20,20,300
,"Attack",0,,"Gems",2,10,20,20,20,5
,"Cast",8,,"Common",3,50,100,20,20,25
,"Collect",2,,"Rare",3,10,20,20,20,5
,"Donate",1,,"Epic",2,1,2,20,20,1
